Opportunity Number,Supplies Subgroup,Supplies Group,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Deal Size Category,Lat,Lon,Country_Code,Country
,Car Electronics,Car Electronics,Won,5,94,90,469000,1,1,0,None,6,-16.130262,-63.808594,1,Bolivia
,Garage & Car Care,Car Accessories,Won,4,4,4,5000,3,2,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
,Shelters & RV,Performance & Non-auto,Loss,4,71,71,200000,3,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Loss,2,46,46,120000,5,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Won,3,6,6,12000,1,1,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Loss,2,47,47,15000,2,5,0,Unknown,2,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Loss,2,33,33,40000,3,2,0,Known,3,-16.130262,-63.808594,1,Bolivia
,Batteries & Accessories,Car Accessories,Won,3,5,5,50000,1,5,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Shelters & RV,Performance & Non-auto,Loss,4,6,6,7000,1,1,0,Unknown,1,-16.130262,-63.808594,1,Bolivia
,Replacement Parts,Car Accessories,Loss,3,15,15,240000,4,5,0,None,5,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Won,3,11,11,7000,3,2,1,Unknown,1,-16.130262,-63.808594,1,Bolivia
,Batteries & Accessories,Car Accessories,Loss,4,41,37,250000,1,1,4,Unknown,6,-16.130262,-63.808594,1,Bolivia
,Shelters & RV,Performance & Non-auto,Loss,2,0,0,80000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Batteries & Accessories,Car Accessories,Loss,5,51,51,50000,1,1,0,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Exterior Accessories,Car Accessories,Won,3,11,10,3,1,3,2,Known,1,-16.130262,-63.808594,1,Bolivia
,Performance Parts,Performance & Non-auto,Won,3,6,6,16192,1,1,0,None,2,-16.130262,-63.808594,1,Bolivia
,Motorcycle Parts,Performance & Non-auto,Loss,2,42,42,55000,1,1,4,Unknown,4,-16.130262,-63.808594,1,Bolivia
,Interior Accessories,Car Accessories,Loss,5,34,34,30000,1,1,2,Unknown,3,-16.130262,-63.808594,1,Bolivia
,Towing & Hitches,Car Accessories,Loss,2,7,7,105000,1,1,0,Unknown,5,-16.130262,-63.808594,1,Bolivia
,Performance Parts,Performance & Non-auto,Loss,2,22,22,25000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
,Batteries & Accessories,Car Accessories,Loss,3,27,27,30000,1,1,0,Unknown,3,-16.130262,-63.808594,1,Bolivia
